Zipcode,State_Abbrev,City,County,State_Rate,City/CountyRates,Combined_Rate
35631,AL,Florence,Lauderdale,0.04,0.055,0.095
35632,AL,Florence,Lauderdale,0.04,0.055,0.095
35633,AL,Florence,Lauderdale,0.04,0.055,0.095
35634,AL,Florence,Lauderdale,0.04,0.055,0.095
35640,AL,Hartselle,Morgan,0.04,0.049999999999999996,0.09
35643,AL,Hillsboro,Lawrence,0.04,0.049999999999999996,0.09
35645,AL,Killen,Lauderdale,0.04,0.034999999999999996,0.075
35646,AL,Leighton,Colbert,0.04,0.045000000000000005,0.085
35647,AL,Lester,Limestone,0.04,0.019999999999999997,0.06
35648,AL,Lexington,Lauderdale,0.04,0.034999999999999996,0.075
35649,AL,Mooresville,Limestone,0.04,0.019999999999999997,0.06
35650,AL,Moulton,Lawrence,0.04,0.049999999999999996,0.09
35651,AL,Mount Hope,Lawrence,0.04,0.030000000000000006,0.07
35652,AL,Rogersville,Lauderdale,0.04,0.034999999999999996,0.075
35653,AL,Russellville,Franklin,0.04,0.049999999999999996,0.09
35654,AL,Russellville,Franklin,0.04,0.049999999999999996,0.09
35660,AL,Sheffield,Colbert,0.04,0.049999999999999996,0.09
35661,AL,Muscle Shoals,Colbert,0.04,0.049999999999999996,0.09
35662,AL,Muscle Shoals,Colbert,0.04,0.049999999999999996,0.09
35670,AL,Somerville,Morgan,0.04,0.049999999999999996,0.09
35671,AL,Tanner,Limestone,0.04,0.019999999999999997,0.06
35672,AL,Town Creek,Lawrence,0.04,0.049999999999999996,0.09
35673,AL,Trinity,Morgan,0.04,0.049999999999999996,0.09
35674,AL,Tuscumbia,Colbert,0.04,0.049999999999999996,0.09
35677,AL,Waterloo,Lauderdale,0.04,0.04,0.08
35739,AL,Ardmore,Limestone,0.04,0.049999999999999996,0.09
35740,AL,Bridgeport,Jackson,0.04,0.049999999999999996,0.09
35741,AL,Brownsboro,Madison,0.04,0.015,0.055
35742,AL,Capshaw,Limestone,0.04,0.019999999999999997,0.06
35744,AL,Dutton,Jackson,0.04,0.049999999999999996,0.09
35745,AL,Estillfork,Jackson,0.04,0.019999999999999997,0.06
35746,AL,Fackler,Jackson,0.04,0.019999999999999997,0.06
35747,AL,Grant,Marshall,0.04,0.04,0.08
35748,AL,Gurley,Madison,0.04,0.049999999999999996,0.09
35749,AL,Harvest,Madison,0.04,0.015,0.055
35750,AL,Hazel Green,Madison,0.04,0.015,0.055
35751,AL,Hollytree,Jackson,0.04,0.019999999999999997,0.06
35752,AL,Hollywood,Jackson,0.04,0.049999999999999996,0.09
35754,AL,Laceys Spring,Morgan,0.04,0.030000000000000006,0.07
35755,AL,Langston,Jackson,0.04,0.04,0.08
35756,AL,Madison,Limestone,0.04,0.049999999999999996,0.09
35757,AL,Madison,Madison,0.04,0.049999999999999996,0.09
35758,AL,Madison,Madison,0.04,0.049999999999999996,0.09
35759,AL,Meridianville,Madison,0.04,0.015,0.055
35760,AL,New Hope,Madison,0.04,0.04,0.08
35761,AL,New Market,Madison,0.04,0.015,0.055
35762,AL,Normal,Madison,0.04,0.015,0.055
35763,AL,Owens Cross Roads,Madison,0.04,0.04,0.08
35764,AL,Paint Rock,Jackson,0.04,0.019999999999999997,0.06
35765,AL,Pisgah,Jackson,0.04,0.049999999999999996,0.09
35766,AL,Princeton,Jackson,0.04,0.019999999999999997,0.06
35767,AL,Ryland,Madison,0.04,0.015,0.055
35768,AL,Scottsboro,Jackson,0.04,0.049999999999999996,0.09
35769,AL,Scottsboro,Jackson,0.04,0.049999999999999996,0.09
35771,AL,Section,Jackson,0.04,0.049999999999999996,0.09
